DPTO,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL,RELA_DEP,RELA_INDEP,TOTAL_TRABAJADORES,TASA_ACCIDENTES,TASA_MUERTES
BOGOTA,1999,1999,1999,5,1,2,790127.0,221193.0,1011320.0,1.9766,1.9766
ANTIOQUIA,1142,1142,1142,1,3,0,280350.0,11365.0,291715.0,3.9148,3.9148
VALLE DEL CAUCA,576,576,576,0,2,0,190211.0,27356.0,217567.0,2.6475,2.6475
CUNDINAMARCA,401,401,401,0,0,0,119456.0,18827.0,138283.0,2.8999,2.8999
SANTANDER,375,375,375,2,0,0,97555.0,19290.0,116845.0,3.2094,3.2094
N. DE SANTANDER,358,358,358,0,0,0,86939.0,15749.0,102688.0,3.4863,3.4863
BOYACA,341,341,341,1,0,0,112842.0,14969.0,127811.0,2.668,2.668
META,304,304,304,1,0,0,63423.0,14630.0,78053.0,3.8948,3.8948
MAGDALENA,285,285,285,1,0,0,66645.0,10562.0,77207.0,3.6914,3.6914
CAUCA,250,250,250,0,2,0,72950.0,20346.0,93296.0,2.6796,2.6796
TOLIMA,211,211,211,0,0,0,63118.0,15076.0,78194.0,2.6984,2.6984
CALDAS,201,201,201,0,0,0,46780.0,7686.0,54466.0,3.6904,3.6904
QUINDIO,196,196,196,1,0,0,62164.0,11445.0,73609.0,2.6627,2.6627
RISARALDA,194,194,194,0,0,0,60278.0,5080.0,65358.0,2.9683,2.9683
CASANARE,189,189,189,0,0,0,57088.0,11145.0,68233.0,2.7699,2.7699
NARIÃ‘O,188,188,188,0,0,0,52625.0,16418.0,69043.0,2.7229,2.7229
CESAR,180,180,180,0,0,0,62391.0,10209.0,72600.0,2.4793,2.4793
HUILA,166,166,166,0,0,0,59257.0,13190.0,72447.0,2.2913,2.2913
ATLANTICO,164,164,164,1,0,0,94441.0,10909.0,105350.0,1.5567,1.5567
BOLIVAR,124,124,124,0,1,0,61675.0,6656.0,68331.0,1.8147,1.8147
CAQUETA,106,106,106,0,0,0,30207.0,6006.0,36213.0,2.9271,2.9271
CORDOBA,96,96,96,1,0,0,44424.0,7555.0,51979.0,1.8469,1.8469
LA GUAJIRA,49,49,49,1,0,0,38722.0,8990.0,47712.0,1.027,1.027
SUCRE,45,45,45,0,0,0,33128.0,2329.0,35457.0,1.2691,1.2691
PUTUMAYO,37,37,37,0,0,0,17135.0,6767.0,23902.0,1.548,1.548
ARAUCA,31,31,31,0,0,0,23348.0,3766.0,27114.0,1.1433,1.1433
CHOCO,28,28,28,0,0,0,14366.0,2527.0,16893.0,1.6575,1.6575
SAN ANDRES,27,27,27,0,0,0,7769.0,3919.0,11688.0,2.3101,2.3101
AMAZONAS,9,9,9,0,0,0,7146.0,2607.0,9753.0,0.9228,0.9228
GUAINIA,6,6,6,0,0,0,2944.0,1657.0,4601.0,1.3041,1.3041
VAUPES,3,3,3,0,0,0,874.0,1097.0,1971.0,1.5221,1.5221
GUAVIARE,3,3,3,0,0,0,1931.0,475.0,2406.0,1.2469,1.2469
VICHADA,1,1,1,0,0,0,1883.0,1841.0,3724.0,0.2685,0.2685
